f,,CREATOR,TITLE,TITLE_PUB,Texte illustré par une photo prise par Roud,CONTRIBUTOR,NUMBER,PLACE,PUBLISHER,DATE,FORMAT,REUSED,TRANSCRIBED,WEBSITE_INTEREST,DIGITIZED,Original dans le fonds Roud CRLR
,À propos de Roud,Martinet Édouard,"""Le repos du cavalier""",Tribune de Genève,,,,,,1959,,,Trouvé dans le fonds la BCUL IS 1994/2 c/18,,,
,À propos de Roud,Aubert Claude,Présentation du poète Gustave Roud,Le Journal de Genève,,,213,,,1945-09-08(-09),p. 37,,,,,
,À propos de Roud,Bergé René ,"Gustave Roud, l'exercice de la solitude",Pour L'Art ,,,16,,,1951-01(-02),p. 15-19 ,,,,,
,À propos de Roud,Blanc Maurice ,Un poète de la terre vaudoise,L'Illustré,,,43,,,1942-10-22,p. 5 et 19,,,,,
,À propos de Roud,Borgeaud Georges,La montée à Carrouge,Repères,,,3,,,1982,,,,,,Oui
,À propos de Roud,Boulanger Mousse,"Gustave Roud, 1897-1976",Voix des lettres ,,,25,,,1986-12,p. 36-37,,,,,
,À propos de Roud,Boulanger Mousse ,Promenade avec Gustave Roud,Calligrammes,,,,Quimper,,1987,,,,,,
,À propos de Roud,Bounoure Gabriel,"Adieu, par Gustave Roud ",La Nouvelle Revue française,,,179,,,1928-08-01,p. 296-298,,,,,Oui
,À propos de Roud,Bridel Yves,Gustave Roud,Feuille centrale de Zofingue,,,4,,,1953-03,p. 203-226,,,,,Oui
,À propos de Roud,"Chappaz Maurice, Jaccottet Philippe, Chessex Jacques",Adieu à Gustave Roud,,,,,Vevey,Bertil Galland,1977,,,,,,Oui
,À propos de Roud,Chessex Jacques ,Ode à Gustave Roud,Gazette de Lausanne,,,265,,,1976-11-13,,Un poème de Jacqus Chessex.,,,,
,À propos de Roud,Collectif,[Cahier spécial en hommage à Gustave Roud],La Gazette Littéraire,,"Numéro réalisé pour le 70e anniversaire de Roud. Contient également le début de Requiem (Payot, 1967), avec une seule différence : ""des oiseaux la blessent parfois"" (dans le recueil : ""des oiseaux parfois la blessent""). Avec également des photographies de Gustave Roud.",93,,,1967-04-22(-23),s.n.p.,Avec quatre photographies de Gustave Roud.,,,,
,À propos de Roud,Collectif,"Approches de l'œuvre de Roud, Actes du Colloque de Lausanne",Cahiers Gustave Roud,,présentation par Doris Jakubec,5,Lausanne et Carrouge,Association des Amis de Gustave Roud,1987,,,,,,
,À propos de Roud,Collectif,Autour de Gustave Roud,Solaire,,"Albert Béguin, ""G. Roud, ou la poésie en quête du paradis perdu"", Philippe Jaccottet ""La route, ma seule patrie"", René Daillie ""Le frêne"", Pierre-Alain Tache ""La tentation du deuil"", Pierre-Albert Jourdant ""La transparence de l'aile"", Alain M.-Perdrillat ""La neige et le sang"", Jean Fusier ""À propos de Campagne perdue"", Claude Mettra ""Descendre le chemin""",17,,,1977-06,s.n.p.,,,,,
