PLACE,PUBLISHER
,
,
,
,
,
,
Quimper,
,
,
Vevey,Bertil Galland
,
,
Lausanne et Carrouge,Association des Amis de Gustave Roud
,
,
Lausanne et Carrouge,Association des Amis de Gustave Roud
Gollion,Infolio
Montricher,Fondation Jan Michalski pour l'écriture et la littérature
,s.n.é.
,
,
,
,
,
,
Berne,Kandelaber Verlag
Genève,Slatkine
,
,
Paris,"Pierre Seghers, coll. Poètes d'aujourd'hui, no 173"
,
,
,
,
,
Lausanne,Payot
,
Zurich,
New York et alii,Peter Lang
,
,
,
,
,
,
,
,
,
,Editions du Comte-Vert
,
,
,
Lyon,La Manufacture
Genève-Carrouge,Zoé
Strasbourg,Presse universitaire de Strasbourg
,
,
,
Paris,J.-M. Place
Lausanne,L'Âge d'homme
Lausanne,Editions Vie
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Paris,"Jean Guérin est un pseudonyme derrière lequel se cachent tous les membres du comité du prériodique, mais surtout Paulhan, comme c'est le cas ici."
Paris,
Dorigny,"Payot, Centre de recherches sur les lettres romandes"
Lausanne,Études de lettres
Lausanne et Carrouge,Association des Amis de Gustave Roud
Carouge-Genève,Zoé
Gollion,Infolio
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
Paris,"Gallimard (""Les Cahiers de la NRF"")"
Vevey,L'Aire
,
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
Gollion,Infolio
Genève,Slatkine
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne,Éditions Paroles Lausanne
Vevey,Bertil Galland
Moudon,Éditions Empreintes
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne,Au Verseau
Porrentruy,Éditions des Portes de France
Genève,Zoé
Lausanne,Mermod
Saint-Clément-de-Rivière (Hérault),Fata Morgana
Paris,Gallimard
Lausanne,L'Âge d'homme
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne,Bibliothèque des Arts
Lausanne et Carrouge,Association des Amis de Gustave Roud
,
,
Lausanne,Mermod
Lausanne,Mermod
Lausanne,"Mermod (""Aujourd'hui"")"
Montpellier,Fata Morgana
Lausanne,L'Âge d'Homme
,
Lausanne,Mermod
Saint-Clément-de-Rivière (Hérault),Fata Morgana
Lausanne,Éditions des Terreaux
Lausanne,Payot
Lausanne,Raynald Métraux
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne,Bibliothèque des Arts
Vevey,L'Aire
Genève,La Dogana
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne et Carrouge,Association des Amis de Gustave Roud
,
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne,Mermod
