,À propos de Roud,?,Gustave Roud de Philippe Jaccotet,La Gazette littéraire,,,,,,1968-06-01(-02),p. 24,Sur l'essaie de Philippe Jaccottet sur Gustave Roud,,,,Fonds Daniel Simond
,À propos de Roud,A. L.,Gustave Roud,Le Messager social,,,,,,,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Acatos Sylvio,Gustave Roud: la lumière et l'ombre,Construire,,,,,,1972-09-20,,,,,,Fonds Daniel Simond
,À propos de Roud,Altwegg Jürg,Adieu Gustave Roud,National Zeitung,,,,,,,p. 43,,,,,"Fonds ALS, SSV 01-b-01-1946"
,À propos de Roud,Anet Daniel,Écoutons mieux Gustave Roud,Le Messager social,,,,,,1968-03-25,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
,À propos de Roud,Anex Georges,"C'est arrivé en 1967, ""Requiem"" de Gustave Roud",Gazette de Lausanne,,,,,,1967-12-30(-31),,,,,,Fonds Daniel Simond
350,Périodique,"Anex Georges, Roud Gustave",En hommage à Gustave Roud,La Nouvelle Revue Française,,,58,,,1957-10,p. 785-786,Fragment du texte d'Anex paru dans Arts et Lettres et d'une lettre de Roud à Nicole,Fait,,,
,À propos de Roud,ATS,"Pour les 70 ans de Gustave Roud, Outre le Prix de Lausanne une édition de ses œuvres",Feuille d'Avis de Lausanne,,,,,,1967-03-16,,,Pas fait,,,"Non (IS 5178 VIII…, Raphaël Aubert)"
356,Périodique,Auberjonois René,Extraits des lettres d'Auberjonois,"Schweizer Kunst, Art Suisse, Arte Svizzera",,,9,,,1958-09,p. 94-100,Lettres d'Auberjonois à Roud.,Pas fait,,,Oui
,À propos de Roud,Aubert Claude,Présentation du poète Gustave Roud,Le Journal de Genève,,,213,,,1945-09-08(-09),p. 37,,,,,
,À propos de Roud,Aubert Claude,Présentation du poète Gustave Roud,Journal de Genève,,,,,,1945-09-08(-09),,,,,,Fonds Daniel Simond
