L.,A.
Sylvio,Acatos
Jürg,Altwegg
Daniel,Anet
Georges,Anex
,ATS
René,Auberjonois
Claude,Aubert
Gr.,B.
L.,B.
Bruno,Barilli
Albert,Béguin
René,Bergé
Werner,Bergengruen
Maurice,Blanc
Willy,Boller
Olivier,Bonnard
Georges,Borgeaud
Mousse,Boulanger
Gabriel,Bounoure
Clemens,Brentano
Yves,Bridel
Elisabeth,Brock-Sulzer
Werner,Bucher
Michelangelo,Buonarroti
Vincenzo,Cardarelli
Maurice,Chappaz
Jacques de,Chastonay
Jacques,Chessex
Charly,Clerc
Carlo,Coccioli
,Collectif
Catherine,Colomb
Jeanlouis,Cornuz
Edmond-Henri,Crisinel
Yves,D. Sueur
Carlos,d'Aguila
Gabriele,D’Annunzio
Roger,Delapierre
Claude,Depoissier
Suzanne,Deriex
Albrecht,Dürer
Joseph von,Eichendorff
Dutoit,Ernest
Hans,Fischer
Werfel,Franz
,G.
R.,G.
Bertil,Galland
Bernard,Gander
Richard,Garzarolli
Bernhard,Geiser
Johann Wolfgang von,Goethe
Jeremias,Gotthelf
(frères),Grimm
Manfred,Gsteiger
Kristmann,Gudmundsson
Jean,Guérin
S.,H.
Heinrich,Heine
Hermann,Hesse
Georg,Heym
Friedrich,Hölderlin
Grietje,Hollaert
Edmond,Humeau
Edouard,Huttinger
Marie-Anne,I.d.B.
Philippe,Jaccottet
John E.,Jackson
Doris,Jakubec
Claire,Jaquier
Urs,Keller
Heinrich von,Kleist
Ursula,Kobilijac
René,Lacôte
Monique,Laederach
Charles-François,Landry
Mary,Lavater-Sloman
,Le promeneur solitaire
Hermann,Leisinger
Robert,Lejeune
Giacomo,Leopardi
Jean-Georges,Lossier
M.,M.
Annie,Martin
Vio,Martin
Édouard,Martinet
Jean-Pierre,Martinet
Pierre-Louis,Matthey
Jacques,Mercanton
Eugenio,Montale
Wilhelm,Müller
Colette,Muret
Georges,Nicole
Jean,Nicole
Friedrich,Nietzsche
,Novalis
J.,Nr.
Johannes,Oeschger
Jean,Pache
Roger,Pache
Gérard de,Palézieux
Jean,Paulhan
J.,Pe.
Henri,Perrochon
Raymond,Pittet
August von,Platen
Charles Ferdinand,Ramuz
Marcel,Raymond
Rainer Maria,Rilke
Steven-Paul,Robert
André,Rolland de Renéville
Gustave,Roud
Gustave (pas sûr),Roud
Gustave (signé Adrien Delarze),Roud
Gustave (signé L. V.),Roud
Gustave (signé O. C.),Roud
,s.i.a
,s.n.a.
,Sainte Hildegarde
Gilbert,Salem
Madeleine,Santschi
Peter,Schnyder
Gotthard,Schuh
Max A.,Schwendimann
Daniel,Simond
Pierre-Alain,Tâche
Henri-Charles,Tauxe
,Textes égyptiens
Louis,Tieck
Gérard,Titus-Carmel
Georg,Trakl
Ph.,V.
Gilbert,Vincent
Jean,Vuilleumier
Werner,Weber
Myrian,Weber-Perret
Franz,Werfel
Jakob,Wyrsch
