Vevey,Aire
Lausanne,Amis de C. F. Landry
Lausanne et Carrouge,Association des Amis de Gustave Roud
Lausanne,Atelier Saint-Prex et Jean Genoud
Lausanne,Au Verseau
Vevey,Bertil Galland
Lausanne,Bibliothèque des Arts
,Chambre économique du Jura
Lausanne,Clairefontaine
Paris,Corti
Nyon,Cyclades
Paris,Delpire
Lausanne,"éditeurs Jacques Chessex, Bertil Galland, Daniel Laufer, Maurice Maffeï"
Leysin,Edition du Lien
Lausanne,Éditions de Mon Repos
Porrentruy,Éditions des Portes de France
Lausanne,Éditions des Terreaux
,Editions du Comte-Vert
Lausanne,Éditions Paroles
Lausanne,Editions Vie
Moudon,Empreintes
Lausanne,Études de lettres
Paris,Fario
Montpellier,Fata Morgana
Sèvres,FIPF
Montricher,Fondation Jan Michalski pour l'écriture et la littérature
Paris,Gallimard
Paris,Horizons de France
Lausanne,Imprimerie Held
Gollion,Infolio
Paris,J.-M. Place
Bâle,J.R. Geigy
Paris,José Corti
Berne,Kandelaber Verlag
Lausanne,L'Âge d'Homme
Vevey,L'Aire
Neuchâtel,La Baconnière
Lausanne,La Bibliothèque des Arts
Paris,La Délirante
Genève,La Dogana
Lausanne,La Guilde du Livre
Lyon,La Manufacture
Lausanne,"La Suisse, Société d'assurances"
Lausanne,Le Verseau
Marseille,Les Cahiers du Sud
Etoy,Les Chantres
Lausanne,Max Roth
Lausanne,Mermod
Lausanne,Musée cantonal des Beaux-Arts
Vevey,Musée des Beaux-Arts
Paris,"NRF, Bibliothèque de la Pléiade"
Albeuve,Paul Castella
Lausanne,Payot
Dorigny,"Payot, Centre de recherches sur les lettres romandes"
New York,Peter Lang
Genève,Pierre Cailler
Paris,Pierre Seghers
Lausanne,Pour l'Art
Strasbourg,Presse universitaire de Strasbourg
Lausanne,Raynald Métraux
Lausanne,Rencontre
Zurich,Schweizer Bücherfreunde
Genève,Slatkine
Lausanne,Société de la feuille d'avis de Lausanne
Namur,Sources - Revue de la Maison de la Poésie
Brougg,Union suisse des paysans
Lausanne,V. Porchet
Genève,Zoé
,Zofingue
Saint-Gall,Zollikofer
